과목명,강의 내용,상세 URL
생활코딩 - SQLite,"생활코딩(오픈튜토리얼스)에서 제공하는 SQLite 강의로, 관계형 데이터베이스 SQLite에 입문할 수 있습니다.",https://www.inflearn.com/course/생활코딩-에스큐엘라이트-시퀄라이트?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
12시간 안에 끝내는 파이썬을 활용한 크롤링,이 강의는 단순 반복 업무에서 여러분을 해방시켜 줄 웹 크롤링을 12시간 내에 배울 수 있는 알짜배기 수업입니다. 빅데이터 전문 교육기관 스마트인재캠퍼스가 다년간 쌓아온 전문화된 교육방식을 토대로 데이터 수집을 효율적으로 하고싶은 분들을 위해 효율적인 2022년 최신 커리큘럼을 준비하였습니다!,https://www.inflearn.com/course/12시간-파이썬-크롤링?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
@시코 - Java 제대로 배우기 (완벽한 기본기),"가장 많이 쓰이는 프로그래밍 언어 중 하나인 자바, 이론부터 실무까지 제대로 하실 수 있는 길잡이 강의입니다.",https://www.inflearn.com/course/자바-제대로?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
[핵집] 2024 빅데이터 분석기사(필기)_과목 1~2,오롯이 전문 영역을 파고든 유일한 강의! 철저한 출제 경향 분석으로 합격을 위한 가장 빠른 길을 과목별 현업 전문가가 알려드립니다!,https://www.inflearn.com/course/핵집-빅분기-필기12?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
증권사 출신이 알려주는 '재테크 초보를 위한 금융투자해설'(텍스트강의),"금융권(은행/증권/보험) 저축 및 투자상품 구조와 수익발생 원리 해설 및 사용법 분석
재테크 초보들, 자산관리를 제대로 하고 싶은 분들을 위한 최초의 해설서",https://www.inflearn.com/course/금융-투자-해설-초보?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
[스마트 워킹 실무] 노션으로 똑똑하게 일하기,쉽고 편하게 다양한 기능을 제공하는 협업 툴 노션의 핵심 기능과 꿀팁을 빠르게 학습하는 과정! 가입부터 효과적인 활용까지 체계적으로 학습하고 업무 효율과 협업 능률을 올려보자!,https://www.inflearn.com/course/스마트워킹-실무-노션?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
MERN STACK 커뮤니티 : 시작부터 배포까지 알려주는 React,"MERN Stack을 활용하여 커뮤니티 어플리케이션을 제작하고, 배포합니다.
(MongoDB, Express, React, Node + Firebase)",https://www.inflearn.com/course/풀스택-커뮤니티-mern?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
Python 모듈을 활용한 공간 분석,Python에서 기본으로 제공해주는 Folium 라이브러리와 Google Cloud API 등을 활용해 봅니다. 별도의 툴 없이 코딩 기반의 공간 데이터 분석을 수행해 볼 수 있습니다.,https://www.inflearn.com/course/파이썬-모듈활용-공간분석?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
아마존 AWS 입문,"4차 산업혁명을 이끄는 대세, 클라우드 컴퓨팅! 아마존 AWS 입문 강의로 누구나 손쉽게 클라우드 컴퓨팅을 시작해보세요.",https://www.inflearn.com/course/아마존-aws-입문?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
초보자를 위한 Sass 기초 강의 & 자몽톡 클론코딩,"Sass는 CSS의 확장 언어입니다. CSS의 단점을 보완해 뛰어난 생산성을 보장하며, 강력하고 간결합니다. 
기초 구문을 배우고, 배운 내용을 활용한 클론코딩을 즐기면서 Sass를 배워보세요. 재미는 더하고 부담은 덜었습니다!",https://www.inflearn.com/course/초보자-사스-기초강의-클론?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
개발하는 정대리 스위프트 기초 문법,“이 정도는 알겠지” 하고 넘어가는 강의는 그만! 초등학생도 이해할 수 있는 강의를 통해 스위프트 기초 문법을 익혀보세요! iOS 앱 개발을 하는데 큰 힘이 되실 거예요!,https://www.inflearn.com/course/정대리-스위프트-기초?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
쉬우면서 강력한 유니티(Unity) 에디터 프로그래밍,"유니티의 강력하지만 쉬운 Editor Programming(에디터 프로그래밍)을 소개합니다. 핵심만 꾹꾹 눌러담았으며, 직접 툴도 제작해보는 시간까지 가져봅니다.",https://www.inflearn.com/course/유니티-에디터-프로그래밍?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
파이썬 동시성 프로그래밍 : 데이터 수집부터 웹 개발까지 (feat. FastAPI),"파이썬에서 동시성 / 병렬성 프로그래밍을 사용하여 데이터를 수집하여 MongoDB에 적재하고 분석하여 모던 웹 프레임워크인 FastAPI를 사용해 수집한 데이터를 시각화한 웹 앱을 개발합니다. 이 과정에서 코루틴, 멀티 스레딩과 멀티 프로세싱을 사용한 파이썬 동시성 / 병렬성 프로그래밍을 배우고 이해하며, 이를 사용하여 파이썬의 성능을 높이는 방법을 이해합니다. 파이썬 동시성 / 병렬성 코드를 실무에 바로 적용할 수 있도록 도와드립니다. 개발만 하고 끝나는 것이 아니라 AWS 클라우드에 실제 앱을 배포하고 운영하는 방법에 대하여 알려드립니다.",https://www.inflearn.com/course/파이썬-동시성-프로그래밍?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
스마트폰으로 프리미어 프로급 영상 제작하기,"누구나 영상을 만들 수 있는 시대, 하지만 그렇지 못한 당신!  
의욕만으로 도전하기에는 뭐부터 시작할지 막막하다면, 이 강의로 시작해보세요. 
영상에 대해 전혀 모르는 사람들도 오직 ‘스마트폰’ 하나로 쉽고 부담 없이 영상을 만들 수 있습니다!",https://www.inflearn.com/course/스마트폰-영상-제작?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
비전공 신입개발자 면접전략,"[템플릿과 세세한 예시로 하나하나 떠먹여주는 면접족보] 스트레스 받는 면접 준비, 대신 해드립니다! 개발자 지망생 면접 전 필독템☆ 영국 대기업에서까지 일해본 면접 달인이 분석과 전략을 통해 면접에 합격하는 노하우를 전수해드려요. 면접 공식, 이젠 암기만 하세요!",https://www.inflearn.com/course/비전공-신입개발자-면접?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
전산응용건축제도 기능사 실기,전산응용건축제도기능사 취득을 위한 강의입니다. CAD 자격증이 필요하신가요? 이 강의와 함께 국가공인자격증을 준비해봅시다!,https://www.inflearn.com/course/전산응용건축제도-기능사?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
'블록체인 게임'에 대한 넓고 얕은 지식,"블록체인 게임개발에 대한 열기가 매우 뜨거운 요즈음, 블록체인 게임 개발 및 서비스에 대한 전망, 현황, 성공사례 등 각종 이슈를 다루는 세미나 형태의 강의입니다. 블록체인 게임 개발 및 서비스에 직접 관련이 없더라도 시야를 넓히는 좋은 계기가 될 것으로 생각합니다.",https://www.inflearn.com/course/블록체인-게임-지식?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
NJ의 서바이벌 키트,"이 시리즈는, 제가 듣고 배우고 느낀 점들을 정리한 영상들입니다. 여러분들의 삶의 여정에 다양한 시각을 제공해줄 수 있습니다.",https://www.inflearn.com/course/서바이벌-키트?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
아두이노 응용 시리즈 1 - 원격제어 궤도차량 개발,"아두이노는 배웠는데 이걸로 무엇을 만들지 모르겠다구요?
본 강의는 아두이노 응용 시리즈 1탄으로 아두이노와 3D프린터가 만드는 시너지가 무엇인지 배울 수 있어요.
단, 3D프린터는 꼭 있어야 하는건 아니에요.",https://www.inflearn.com/course/아두이노-원격-궤도차량?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
디자이너의 스킬업을 위한 Lottie 완벽 이해하기,"더 이상 Gif, Video에 의존하지 않아도 됩니다. 에프터이펙트에서 제작한 애니메이션을 코드로 출력해서 자바스크립트를 통해 다양한 인터렉션을 구현하는 방법을 배워볼게요. 여러분도 매력적인 웹사이트를 만들 수 있습니다.",https://www.inflearn.com/course/로티-디자이너-스킬업?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
웹게임을 만들며 배우는 인터렉티브웹! JAVASCRIPT,"웹게임도 만들고, 프론트엔드 웹 개발 스킬도 배우는 1석 3조 수업! 독자적인 아이디어로 JavaScript, CSS, HTML을 활용해 게임을 만들 수 있는 방법을 수업으로 만들었습니다!",https://www.inflearn.com/course/웹게임-인터렉티브?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
[하루10분|Web-App] 생애최초 웹프레임워크 Ruby on Rails,"웹 프레임워크의 개념, MVC 디자인 패턴에 대하여 학습합니다. 이후 Ruby 언어 기반 웹 프레임워크인 Ruby on Rails를 통하여 CRUD 서비스를 구현합니다.",https://www.inflearn.com/course/하루-10분-루비온레일즈?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
핸드폰으로 내 음악 만들기 FL STUDIO 기초편,"핸드폰으로 음악을 만들기 위해서는 2만원만 있어도 가능합니다!
음악을 하나도 모르는 분들이 이 강의로 음악 만드는 것과 친해지길 바랍니다.",https://www.inflearn.com/course/힙합-음악-만들기?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
비트윈 마케터가 7년 동안 실제로 해본 브랜드 마케팅 A to Z,"‘커플앱 비트윈’ 마케터가 7년 동안 실제 집행한 브랜드 마케팅 사례를 통해, 수박 겉핥기식이 아닌 진짜 현장에서 하는 고민과 해결 방법, 인사이트를 배울 수 있습니다.",https://www.inflearn.com/course/비트윈-브랜드-마케팅?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
iOS/Android 앱 개발을 위한 실전 React Native - Intermediate,"React Native 기반 모바일 앱 개발을 위한 중급 강의입니다. 프론트엔드의 심화내용 학습 뿐만 아니라 Firebase 기반의 백엔드 내용까지 함께 배우면서, 서버 연동/ 로그인/ 데이터 송수신/ 공공API 활용 등이 가능한 하나의 완벽한 앱을 개발할 수 있도록 제작된 강의입니다.",https://www.inflearn.com/course/리액트-네이티브-중급?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
AI 포트폴리오 만들기 - Airbnb 클론 프로젝트,TensorFlow 활용 우수사례인 airbnb 데이터 사이언스팀의 Amenity Detection 프로젝트를 클론 프로젝트로 진행해보고 이 진행경험을 GitHub 블로그로 정리해서 AI 포트폴리오를 만들 수 있는 강의입니다.,https://www.inflearn.com/course/인공지능-포트폴리오-클론?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
기린과 함께 스크래치,"스크래치 기초부터 프로젝트 개발까지!
어린 학생도 재미있게 따라할 수 있도록 구성되어 있습니다.",https://www.inflearn.com/course/기린-스크래치?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
청소년을 위한 로블록스 개발 첫걸음,"전세계 청소년들이 좋아하는 메타버스 공간, 로블록스(Roblox) 개발자가 되려는 청소년을 위한 강의입니다.
강의 문의 : 서종원 Roblox Featured Educator 3dkids4u@gmail.com 010-6616-4545",https://www.inflearn.com/course/청소년-로블록스-첫걸음?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
쉽게 따라 배우는 파이썬 기초,"Python. 기초부터 차근차근, 초심자의 입장에서 알려드립니다.",https://www.inflearn.com/course/쉽게-파이썬-기초?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
SpriteKit과 GameplayKit으로 만드는 인공지능 술래잡기 게임,Apple의 SpriteKit과 GameplayKit 프레임워크를 이용해서 2D 게임을 만드는 법에 대해 학습하는 강의입니다.,https://www.inflearn.com/course/인공지능-술래잡기-게임?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
프레이머를 활용하여 쉽고 간단하게 프로토타입 제작하기,"""슝-하는 느낌으로 다음 카드가 등장했으면 좋겠어요."" ""이 디자인은 개발이 불가능한가요?"" 이런 말들이 익숙하신가요? 그렇다면 쉽고 간단한 프로토타입을 만들어보는 건 어떨까요? 프레이머를 이용해서요!",https://www.inflearn.com/course/프레이머-프로토타입?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
Rhino3d 기초 / 개념 이해,"Rhino3D에 대한 기초 문법 강의입니다.
컴퓨테이셔널 디자인에 필요로 되는 라이노 문법, 사고, 라이노 지오메트리에 대한 내용을 이해할 수 있습니다.
포인트, 커브, 면 그리고 3차원 형태의 데이터 생태계를 이해할 수 있습니다. 
이 개념은 라이노 그라스하퍼와 디자인 스크립팅의 기초가 됩니다!",https://www.inflearn.com/course/라이노-3d-기초개념?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
실무자를 위한 데이터 시각화,데이터를 다루는 방법은 무엇이 더 아름다운지를 느끼는 감각보다 우리의 시각적 지각을 통해 더 잘 접근합니다. 그래서 데이터 시각화의 지각적 특성을 파악하는 것이 인간의 선호도를 통해 알아차리는 것보다 유리합니다.  따라서 이 강의를 통해 실무에 적합한 데이터 분석과 그래픽 커뮤니케이션을 구축하고자 합니다.,https://www.inflearn.com/course/실무자-데이터-시각화?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
"코딩은 실전이다! - Git알못을 위한 깃린이코스(Git, Github 실습위주)","Git, Github 어디서부터 시작할지 막막하셨죠?🧐
가장 쉬운 이해로 소개하는 초급 Git부터 중급 Git 활용 및 협업까지의 All-in-One 코스입니다.",https://www.inflearn.com/course/실전-깃-깃린이코스?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
[65억 선배] 성공하는 보스가 되기위한 20가지 ﻿실전지식!,창업부터 성장 과정까지! 사업을 하면서 맞닥뜨리게 되는 여러 문제에 대해 미리 경험해 보는 기회가 될 것입니다!,https://www.inflearn.com/course/성공하는-보스-실전지식?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
"코딩이 필요 없는 데이터분석, 머신러닝 - 오렌지3(Orange3) 기초","코딩을 몰라도 할 수 있는 데이터분석, 머신러닝. 
초등학생부터 일반인까지 처음부터 하나씩 차근차근 배울 수 있습니다.",https://www.inflearn.com/course/오렌지3-기초?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
비전공자를 위한 데이터 사이언스 커리어 로드맵 완성하기,비전공자로서 시행착오를 겪으며 깨달은 것들을 알려주는 데이터 사이언스 커리어 로드맵 강의입니다. 시간 낭비나 헛수고 없이 커리어 준비 시간과 과정을 최적화할 수 있습니다.,https://www.inflearn.com/course/데이터사이언스-로드맵?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
유니티를 위한 C# 기초 프로그래밍-구조지향(무료),유니티를 위해서는 C# 프로그래밍이 필요합니다. 그리고 C# 프로그래밍은 객체지향과 구조지향의 프로그래밍으로 나뉩니다.  이 강의에서는 기초 C#프로그래밍 학습에 대한 기초적인 내용을 소개하고 있습니다.,https://www.inflearn.com/course/유니티-게임개발-파트1-2?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
[데브원영] 아파치 카프카 for beginners,"아파치 카프카란 무엇일까? 아파치 카프카는 어떻게 동작할까? 아파치 카프카의 개념은 무엇이 있을까?
궁금하시다면 이 강의를 선택하세요😎",https://www.inflearn.com/course/아파치-카프카-입문?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
New Work : 회사 다니며 평생 커리어 찾기,내게 맞는 평생 커리어 찾기,https://www.inflearn.com/course/평생-커리어찾기?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
보통 직장인의 위대한 글쓰기,퇴근 후 나는 작가가 된다,https://www.inflearn.com/course/직장인-글쓰기?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
작정하고 장고! Django로 Pinterest 따라만들기 : 바닥부터 배포까지,Python의 대표 웹 프레임워크 django를 이용해 Pinterest 특유의 카드형 레이아웃 디자인을 본딴 웹서비스 구현해봅니다.,https://www.inflearn.com/course/장고-핀터레스트?attributionToken=ChM1MjY0NjI4NDY4NjkwMDYzMzQ0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dES89GEErLx0RK78tESj_LRErTx0RKM8tES-vHREqny0RKt8tESvvLREg
